wavelength	P1	P2	P3	P4	P5	P6	P7	P8	P9
470	0.047446112	0.037542534	0.044107436	0.040319425	0.048398532	0.07026854	0.038060055	0.049826983	0.048650788
471	0.047842859	0.037939991	0.044574192	0.040720108	0.048885925	0.070885877	0.038429885	0.050322473	0.049072726
472	0.048229466	0.038327238	0.045034359	0.041118222	0.049363736	0.071484992	0.038792913	0.050812053	0.049488932
473	0.048613335	0.038715442	0.045494663	0.041514834	0.049840245	0.07208779	0.039156922	0.051301593	0.049909216
474	0.048996256	0.039106	0.045953817	0.041907738	0.050314369	0.072690283	0.039522141	0.051788686	0.050321896
475	0.049378029	0.039497182	0.046415329	0.042299403	0.050787143	0.073288764	0.039887992	0.052273605	0.05072829
476	0.049756378	0.039885528	0.046880818	0.042690084	0.051258336	0.073882667	0.040253939	0.052757481	0.05113581
477	0.050135217	0.040274661	0.047343706	0.043076761	0.051726522	0.074472955	0.040617733	0.053240604	0.051542643
478	0.050511638	0.040661963	0.047805396	0.043464715	0.052190264	0.075057159	0.040977165	0.053723102	0.05194698
479	0.050881381	0.041044576	0.048267798	0.043855097	0.052650748	0.075632224	0.041333403	0.054205774	0.052345612
480	0.051244145	0.041422673	0.048722797	0.044238691	0.0531113	0.076193304	0.041690844	0.054683971	0.052737629
481	0.051603794	0.041795575	0.04917124	0.044620642	0.053568292	0.076744333	0.042048014	0.055157062	0.053127026
482	0.051964739	0.042165621	0.049618163	0.045005326	0.05402384	0.077293836	0.042404777	0.055627403	0.053517066
483	0.052333314	0.042536995	0.050069051	0.045389377	0.054481779	0.077852276	0.042760565	0.056099573	0.053909806
484	0.052707858	0.042914199	0.050519421	0.045769671	0.054935667	0.078419581	0.043115479	0.056572782	0.054305605
485	0.053090034	0.043301962	0.050973246	0.046149877	0.055390084	0.079000903	0.04347368	0.057049758	0.054708978
486	0.053472132	0.043689092	0.051425218	0.046524193	0.055839377	0.079580552	0.043828538	0.057519925	0.055106922
487	0.053855102	0.044071493	0.051877456	0.046894418	0.056285268	0.080156493	0.044180312	0.057982874	0.055502905
488	0.054239172	0.044449403	0.052326996	0.047261094	0.056727428	0.080727671	0.044526685	0.058441388	0.055898021
489	0.054624008	0.044824767	0.052769074	0.047622367	0.057163478	0.081292606	0.044867098	0.05889736	0.05629016
490	0.055005396	0.045192861	0.053206515	0.047982568	0.057590201	0.081843623	0.04520233	0.059345786	0.056680631
491	0.055379172	0.045553838	0.053635144	0.048341146	0.058012484	0.082374025	0.045536061	0.059786631	0.05706688
492	0.05574771	0.045908898	0.054053719	0.048695741	0.058434765	0.082887534	0.045871833	0.060222907	0.057447793
493	0.056119967	0.046257063	0.054469586	0.049051049	0.058853046	0.083400235	0.04620698	0.060658125	0.057829724
494	0.056498522	0.046608721	0.054888085	0.049408291	0.05927472	0.083916693	0.046544888	0.061095112	0.058218083
495	0.056884796	0.046969142	0.05531077	0.049766164	0.059702496	0.084438402	0.046888096	0.061535744	0.058613521
496	0.057280277	0.04733532	0.055734742	0.050125186	0.060127774	0.084962562	0.047234243	0.06198061	0.059013564
497	0.057681263	0.047704579	0.056158804	0.050487486	0.060551012	0.085487456	0.047577854	0.062427208	0.059418056
498	0.058087945	0.04807512	0.056584215	0.050850678	0.060974144	0.08601341	0.047921294	0.06287273	0.059826521
499	0.058505078	0.04844748	0.057011239	0.051212442	0.061398016	0.086544878	0.04826907	0.063317822	0.060238566
500	0.058934007	0.048823372	0.057436903	0.051576683	0.061822031	0.087085989	0.048613926	0.063766725	0.06065583
501	0.059368016	0.049197735	0.057857288	0.051937408	0.062240022	0.087623017	0.0489531	0.064211557	0.061074051
502	0.059813374	0.049576435	0.058283106	0.052300181	0.06266088	0.088164136	0.049297604	0.064659097	0.061502457
503	0.060263543	0.049957339	0.058710018	0.052665889	0.063085717	0.088708187	0.049645447	0.065110794	0.061936567
504	0.060721133	0.050338824	0.059137083	0.053033982	0.063514165	0.089254746	0.04999934	0.065565092	0.062375974
505	0.061188201	0.050720121	0.059566272	0.053403863	0.063944543	0.089803818	0.050358519	0.066022089	0.062820631
506	0.061661627	0.051105266	0.059998802	0.053776369	0.064376486	0.090349267	0.050719287	0.066483197	0.063270757
507	0.062142153	0.051492831	0.060434491	0.054152215	0.064808923	0.090890139	0.05108256	0.066946068	0.063723835
508	0.062630342	0.051881582	0.060871132	0.054531655	0.065241684	0.091429616	0.051449251	0.067410001	0.064180001
509	0.063125421	0.052273183	0.061306429	0.054915705	0.065676122	0.091970076	0.051819696	0.067875623	0.064641817
510	0.063627322	0.052666204	0.061744473	0.055301848	0.066111073	0.092509781	0.052196465	0.068343217	0.065108621
511	0.064134886	0.053060687	0.062183414	0.055691524	0.066546554	0.093048277	0.05257708	0.068811706	0.065579003
512	0.064648981	0.053458156	0.062620849	0.056088051	0.066983311	0.093588256	0.052956167	0.069281976	0.066053346
513	0.065173248	0.053859643	0.063062424	0.056487261	0.067422212	0.094129309	0.053337265	0.069754042	0.066533708
514	0.065720237	0.054273001	0.063518245	0.056890701	0.067870185	0.094693631	0.053726364	0.070236408	0.067030108
515	0.06628443	0.054693703	0.063980916	0.05729313	0.068319846	0.095277794	0.054117605	0.070723217	0.067536219
516	0.066862463	0.055121048	0.064445702	0.057698518	0.068772363	0.095870379	0.05451488	0.071212742	0.068050748
517	0.067447551	0.055548972	0.064909169	0.058103706	0.069223755	0.096464545	0.054911582	0.071702036	0.068569759
518	0.068033913	0.055973962	0.065370868	0.058505436	0.0696707	0.097056431	0.055303136	0.072190926	0.069088818
519	0.068619384	0.056396611	0.065830705	0.058903388	0.070113518	0.097641804	0.055693208	0.072678473	0.069605218
520	0.069193484	0.056809575	0.06627694	0.05929387	0.070548857	0.098205085	0.056079226	0.073155004	0.07011057
521	0.069764216	0.057221147	0.066722712	0.059691038	0.070988032	0.098759283	0.056469795	0.073633858	0.070615567
522	0.070330669	0.05763158	0.067174158	0.060098221	0.071429484	0.099305178	0.056862646	0.074117374	0.07111924
523	0.070897123	0.05804441	0.067628987	0.060510902	0.071878218	0.09985347	0.057258235	0.074603932	0.071623498
524	0.071470427	0.058465597	0.068088364	0.060927616	0.07233329	0.100413082	0.057658741	0.075095007	0.072133361
525	0.072054028	0.058896009	0.068554845	0.061345033	0.072790765	0.100987217	0.058064376	0.075591175	0.072650506
526	0.072640277	0.059327114	0.069025313	0.061758192	0.073246217	0.101568957	0.058470609	0.076085583	0.073167557
527	0.073222504	0.05975558	0.069495011	0.062169832	0.073702696	0.102148393	0.058877952	0.076577564	0.073679786
528	0.073794551	0.060179638	0.069960358	0.062582889	0.074160198	0.102719901	0.059285893	0.077066689	0.074186734
529	0.074355036	0.060597595	0.070420634	0.062991141	0.074611162	0.103289189	0.059688798	0.077549427	0.074692072
530	0.074904714	0.061009076	0.070877582	0.06339175	0.075055788	0.103854103	0.060085416	0.078028942	0.075190885
531	0.075442348	0.061413796	0.071329488	0.063784913	0.075493754	0.104409948	0.060476707	0.078503975	0.075678068
532	0.075964774	0.061809253	0.071770595	0.064173239	0.075924616	0.104948623	0.060863184	0.078967305	0.076149801
533	0.076487255	0.062205636	0.072219229	0.064568554	0.076362073	0.105487198	0.061251948	0.079436724	0.076620078
534	0.077007146	0.062600813	0.072669568	0.064964772	0.076801478	0.106024367	0.061640116	0.079906744	0.077087377
535	0.077527498	0.062997847	0.073116336	0.065357351	0.077243693	0.106568007	0.062030783	0.080375215	0.077555392
536	0.078049762	0.063400396	0.073562484	0.065749182	0.077684055	0.107117605	0.062422824	0.080846485	0.078025423
537	0.078568334	0.063804517	0.074009636	0.066140011	0.078122245	0.107668549	0.062815353	0.081317524	0.078493824
538	0.0790794	0.064205231	0.074458924	0.06652955	0.078560414	0.108215912	0.063207092	0.081786067	0.078956622
539	0.079582406	0.064600647	0.074902645	0.066913421	0.078992879	0.108752179	0.063592603	0.0822487	0.079409637
540	0.080089421	0.065000928	0.075351824	0.067301951	0.079431159	0.109297966	0.063981135	0.08271695	0.079870187
541	0.080598444	0.065406075	0.075805626	0.067693869	0.079872277	0.109854174	0.064372667	0.083189347	0.080338448
542	0.081108996	0.065815991	0.076263544	0.068088861	0.080317901	0.110414698	0.064769753	0.083667641	0.080806574
543	0.081620435	0.066227579	0.076724591	0.068484526	0.080766535	0.110980373	0.065170739	0.084146994	0.081273344
544	0.082132534	0.066638656	0.077188106	0.068880688	0.081217499	0.111547421	0.065574856	0.084627234	0.081739437
545	0.082645799	0.06704752	0.077653859	0.069277793	0.081671965	0.112108806	0.065980946	0.085111828	0.082204941
546	0.083156369	0.067453847	0.078114168	0.069675884	0.082125692	0.112663986	0.066389185	0.085593089	0.082667567
547	0.083663533	0.067859408	0.078572891	0.070073996	0.082578222	0.113216738	0.066797782	0.08607187	0.08312788
548	0.084168434	0.068265852	0.079036946	0.070470526	0.083030359	0.113770705	0.067203943	0.086552458	0.083586069
549	0.084667858	0.068671851	0.079499582	0.070864859	0.083480446	0.114325254	0.067610282	0.087028553	0.084039588
550	0.085163967	0.069075591	0.079960745	0.071257315	0.08392684	0.114877119	0.068013191	0.087500198	0.084489674
551	0.085656063	0.069474755	0.080417872	0.071647468	0.084366867	0.115420799	0.068409085	0.087967683	0.084934527
552	0.086148283	0.069877232	0.080877755	0.072044529	0.084814731	0.115970475	0.068810885	0.088441293	0.085381937
553	0.086631992	0.070280477	0.081336327	0.072444375	0.08526531	0.116516524	0.069215289	0.088916872	0.085826347
554	0.087110763	0.070686432	0.081795989	0.072845372	0.085718419	0.117062697	0.069623025	0.089396213	0.086268617
555	0.087590101	0.071092408	0.082257383	0.073242534	0.086173512	0.117614659	0.070031039	0.089876981	0.08670962
556	0.088070045	0.071500899	0.082720777	0.073637249	0.086631944	0.118173043	0.070438589	0.09036036	0.087150978
557	0.08854778	0.071909218	0.08318367	0.074030198	0.087090677	0.11873121	0.070844359	0.090844296	0.087589228
558	0.089020309	0.072313432	0.083643832	0.074420285	0.087545757	0.119284992	0.071246704	0.091323953	0.088019844
559	0.089487393	0.072716938	0.084106476	0.074807417	0.088000137	0.119839139	0.071647817	0.09180291	0.088446181
560	0.089949021	0.073120004	0.0845695	0.075192878	0.088451654	0.120393229	0.072048455	0.092279972	0.088868875
561	0.090398172	0.073515989	0.085020228	0.075572156	0.08889057	0.120934754	0.072443033	0.092745442	0.089280286
562	0.090851409	0.073916906	0.085477596	0.075956585	0.089335525	0.121482786	0.072839849	0.093219663	0.089698367
563	0.091304276	0.074319748	0.08593845	0.076343924	0.089784762	0.12203282	0.073240597	0.093697078	0.090117871
564	0.091751912	0.074722087	0.086398337	0.076733846	0.090237676	0.122582641	0.073646169	0.094173802	0.090533225
565	0.092194824	0.075123001	0.08685857	0.077128695	0.090696475	0.123132871	0.074051624	0.094652209	0.090946243
566	0.092637433	0.075524891	0.087320471	0.077523812	0.091157863	0.123684735	0.074457097	0.095131906	0.091357606
567	0.093080814	0.075928588	0.087783086	0.077915115	0.091619589	0.124241883	0.074862118	0.09561126	0.091768058
568	0.093519406	0.076332716	0.088244444	0.078302277	0.092081559	0.124804798	0.075263893	0.096088155	0.092177732
569	0.093946738	0.076729042	0.088701198	0.078684228	0.092538879	0.125359658	0.075658465	0.096560092	0.092577214
570	0.094361849	0.077117128	0.089153514	0.079061724	0.092989952	0.125902509	0.076047984	0.097026625	0.092964683
571	0.094767191	0.077502247	0.08960281	0.079435365	0.093435814	0.126438349	0.076436251	0.097488236	0.093344096
572	0.095163352	0.077881332	0.090044623	0.079801925	0.093871025	0.12696306	0.076818849	0.097941243	0.093713977
573	0.095551048	0.078253379	0.090478643	0.080161881	0.094297035	0.127475854	0.077194533	0.098386553	0.094075104
574	0.095945995	0.078631122	0.09092071	0.080528365	0.094731885	0.127998776	0.077576471	0.098841247	0.094444883
575	0.096340039	0.07900651	0.091363101	0.080894667	0.095164924	0.128522497	0.077960899	0.099291357	0.094816847
576	0.09673604	0.079380649	0.0918079	0.081260907	0.095598881	0.129050602	0.07834842	0.099741428	0.095189836
577	0.09713545	0.079755418	0.092254891	0.081627126	0.096034472	0.129583478	0.078736929	0.100194155	0.095563467
578	0.097537919	0.080133459	0.092702575	0.08199121	0.096467054	0.130115973	0.079126177	0.100645418	0.09593933
579	0.097942031	0.080511946	0.093151261	0.082355494	0.096898474	0.13064684	0.07951783	0.101096206	0.096318491
580	0.098343537	0.080886918	0.093598886	0.082718381	0.097328579	0.131174439	0.079909199	0.101546949	0.096697828
581	0.09873949	0.081256942	0.094044191	0.083077802	0.097755759	0.131694453	0.080296257	0.101997771	0.097071779
582	0.099137131	0.081628945	0.094490565	0.083440979	0.098182634	0.132210543	0.08068344	0.102449623	0.097445771
583	0.099534446	0.082002663	0.094934363	0.083809288	0.098611382	0.132717667	0.081069669	0.102899223	0.09781684
584	0.099927456	0.08237528	0.095370943	0.08418083	0.09904255	0.133212054	0.081450901	0.103343264	0.098181353
585	0.100320936	0.082751839	0.09580618	0.084558395	0.099477082	0.133706722	0.081829739	0.10378429	0.098548565
586	0.100718147	0.083133571	0.096243155	0.084938364	0.099912556	0.134209779	0.08220606	0.104225499	0.09892207
587	0.101120609	0.083520403	0.096683411	0.085316931	0.100347332	0.134725204	0.082581133	0.104667527	0.099302431
588	0.101529909	0.083912933	0.097128962	0.08569545	0.100786157	0.135253545	0.082960092	0.105111218	0.099686864
589	0.101944574	0.084308677	0.097579097	0.086076529	0.101224972	0.135791681	0.083342457	0.105555534	0.100075944
590	0.102364642	0.084706797	0.098034735	0.086462331	0.101664068	0.136339132	0.083729125	0.106000802	0.100472786
591	0.10279293	0.085107911	0.098501135	0.086853024	0.102109891	0.13689956	0.084124849	0.106452875	0.100880699
592	0.103227226	0.085511146	0.098977349	0.087242542	0.10255884	0.137472793	0.084526689	0.106913247	0.101297251
593	0.10366809	0.085918463	0.099461313	0.087631433	0.103011355	0.138056351	0.084935476	0.107384045	0.101721631
